gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	758.492195375421	46.948441865795	1.58921870190336	50.0308128969398	0.975142131461067	0.998304652398384	-47.0912330772248	36.1645228911416	0.215468050574163	0.991343261319462	0.501644232731922	0.00686251281639344	0.0171961803713115	0.0020952340862476	0.0659610077794875	-0.127188341161548	0.131378809334043	-0.0620853231771444	0.0478341078567982	-0.155840174576469	0.0316695282221801	NPX
ABCD1	244.889010582903	34.098270618693	-85.1788783946432	39.8404776664363	0.0520846174160636	0.448969402126468	31.560736433755	28.7984900331288	0.293002999698416	0.991343261319462	0.4712001415199	0.00992023530862536	0.0233640514645767	-0.347826463065428	0.169743739736461	-0.680524192948893	-0.0151287331819639	0.128877716311695	0.118959403600675	-0.104282714745628	0.362038147369019	NPX
ACOT9	480.591062186244	81.1387853606484	68.1182189448984	121.840359728849	0.585611626657325	0.963116371910852	26.5275538341206	88.0716946885431	0.768022574077916	0.991343261319462	0.0233007927056667	0.374138672643923	0.437002081055639	0.141738422339824	0.254648764349513	-0.357373155785222	0.64085000046487	0.0551977677517446	0.183493836006683	-0.304450150821353	0.414845686324842	NPX
ACRC	388.694401800517	35.0907237069048	-5.25755003360007	45.8102729385923	0.910382772462904	0.982873242622144	-2.05773273374873	33.1137266897876	0.951395505460037	0.991343261319462	0.245573194209676	0.0861826718927836	0.125038870784682	-0.013526178944811	0.117863111912569	-0.244537878293446	0.217485520403824	-0.00529396030459112	0.0851935289434483	-0.17227327703375	0.161685356424567	NPX
ACSL4	1212.7871939709	97.2360111523282	22.3979124453404	71.982370731766	0.760613601219808	0.978364631992701	-82.7038049282682	52.032096689095	0.13596744518021	0.991343261319462	0.753406764529038	7.99877570114769e-05	0.000783516437998785	0.0184681307295183	0.059371312130218	-0.097899641045709	0.134835902504746	-0.0681931713489485	0.043249881859807	-0.15296293979417	0.0165765970962731	NPX
AFF2	44.1462591899507	10.1908740061156	-43.1060225274702	16.0018722030986	0.0184099087917119	0.317386827569113	37.2835005096347	11.566873294307	0.00666197112092237	0.991343261319462	0.347546463371446	0.0360522715219725	0.0630505961226135	-0.976436584173425	0.426842323170715	-1.81304753758803	-0.139825630758822	0.844544955648739	0.326586981502447	0.204434471903943	1.48465543939353	NPX
AIFM1	802.000713957137	50.1183073019008	2.163887069228	41.8500171462939	0.959549208036928	0.996294429834405	67.0059532382711	30.2510755961431	0.0452335426607346	0.991343261319462	0.767810773233998	5.44219604576999e-05	0.000652714893301593	0.00269811115073852	0.052182292216082	-0.0995791815927821	0.104975403894259	0.083548495745918	0.0380791446422031	0.00891337224719996	0.158183619244636	NPX
AKAP17A	7092.83355063619	1022.35671891161	5515.71520331394	1563.61908046722	0.00371283782545638	0.133352758564308	-761.361518960472	1130.25423242806	0.512352363157373	0.991343261319462	0.544928142672544	0.00389068313735142	0.0114073770897855	0.777646220503681	0.247310517538444	0.292917606128331	1.26237483487903	-0.107342363742933	0.16010095861499	-0.421140242628313	0.206455515142446	PAR1
ALG13	1655.62630113128	147.209940111508	-29.1748171951596	213.688250151802	0.893494149193265	0.982873242622144	79.1360132824236	154.463482936043	0.617014150262996	0.991343261319462	0.0925509024824568	0.250277561998928	0.313574503550983	-0.0176216197913893	0.129077434251513	-0.270613390924354	0.235370151341576	0.0477982339543353	0.0933928544455958	-0.135251760759032	0.230848228667703	NPX
ALG13-AS1	58.7757388541148	24.3389464013162	17.3773227376753	21.4496962552929	0.432438400208497	0.93658769090383	5.66898314178804	15.5048056650709	0.720523511840749	0.991343261319462	0.652442068170707	0.000711589690690562	0.00375378643703947	0.295654688081539	0.384930279155835	-0.458808659063896	1.05011803522698	0.0964510740708649	0.266802474958065	-0.426481776846942	0.619383924988672	NPX
AMER1	447.246556812509	45.8893426121139	-19.3211819815482	55.0142034999282	0.731062145899202	0.978364631992701	1.72511073047895	39.7667418658466	0.966057273687265	0.991343261319462	0.353541228593688	0.034086833942058	0.0612420500763877	-0.0432002922934694	0.123086269736204	-0.284449380976429	0.19804879638949	0.00385718057344852	0.0889154654926162	-0.170417131792079	0.178131492938976	NPX
AMMECR1	816.685511348113	86.3377873465993	-7.17580395051322	128.466698676285	0.956304844557001	0.996294429834405	-50.7992698297085	92.8615106574068	0.59361576515708	0.991343261319462	0.0708953043807083	0.285259136036364	0.350513669576387	-0.00878649596546415	0.157305274416493	-0.31710483382179	0.299531841890861	-0.0622017522336763	0.113895335432785	-0.285436609681934	0.161033105214582	NPX
AP1S2	1102.28158131121	153.95412369797	273.500064537994	176.399649309141	0.145027137752498	0.7897945664519	26.1780398412507	127.509604302671	0.840515601251855	0.991343261319462	0.549407299465904	0.00365691152885427	0.0108698542685255	0.248121776844583	0.163740652066375	-0.0728099012055116	0.569053454894677	0.0237489587824835	0.115725433430739	-0.203072890741765	0.250570808306732	NPX
APEX2	610.837774692566	32.8745861753762	-68.7679266545695	41.0218046443135	0.117533094893113	0.713475547872277	20.6429468467767	29.6524063310984	0.498584282805511	0.991343261319462	0.369015144224533	0.0294135785180793	0.0548798802653341	-0.112579688918519	0.0674293922820521	-0.244741297791341	0.019581919954303	0.033794483088683	0.0485778919815205	-0.0614181851950971	0.129007151372463	NPX
