gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	1280.39817203596	89.5824096423928	-112.478362908544	36.1658178456459	0.00274656061239178	0.0254477248576708	-39.176948479457	36.7787817899313	0.290606844235276	0.647163375075155	0.864430290918844	9.89942660304214e-28	3.45718436752395e-26	-0.0878463944771901	0.0289067082484882	-0.144503542644227	-0.0311892463101533	-0.0305974729854244	0.0288041482827898	-0.0870536036196924	0.0258586576488436	NPX
ABCD1	439.32820356827	59.5569273490684	7.04623026375732	42.1783165943587	0.867827500557661	0.975231894191035	-58.5567468424856	42.8931846339351	0.176764311075787	0.554103734882226	0.452577265019828	4.23351816831029e-08	6.58225085072901e-08	0.0160386476591466	0.0960310110241563	-0.1721821339482	0.204259429266493	-0.133287019514981	0.0992914890627034	-0.32789833807788	0.0613242990479176	NPX
ACOT9	1271.96658761478	80.9054377063323	-34.1924705481548	51.5793819759115	0.50966266431243	0.831295198185536	-72.8725467558714	52.4535859426155	0.169348732298991	0.54748048162182	0.633872333012951	1.30377117599242e-13	4.08215250965902e-13	-0.0268815791869763	0.0405869259272639	-0.106431954004414	0.0526687956304609	-0.0572912429189855	0.0413988753206817	-0.138433038547522	0.0238505527095507	NPX
ACRC	334.239838019546	18.0124458834779	-21.2570274981696	16.0440062643637	0.189698664103081	0.545531456220746	5.93723792089732	16.3159314674357	0.717084429391294	0.881372123590879	0.174247725373562	0.00647840660604786	0.00692046258622525	-0.0635981264954015	0.0481236807215298	-0.1579205407096	0.0307242877187968	0.0177634059305346	0.0488244266815634	-0.0779324703653297	0.113459282226399	NPX
ACSL4	1200.36813732164	121.673124889228	-59.7121130449777	72.0035095677888	0.409882655047782	0.779234945741225	-0.437949056694123	73.2238761419786	0.995245685879567	0.998355559271712	0.635234749760916	1.15668119318869e-13	3.67226057138226e-13	-0.0497448334293611	0.0601960768926686	-0.167729144138992	0.0682394772802694	-0.000364845619504121	0.0610011939850688	-0.119927185830239	0.119197494591231	NPX
AIFM1	1141.36430512113	69.1854424078027	-61.4870210248502	41.6340890712742	0.144402765191996	0.488201514740795	-82.3289282472943	42.339733156603	0.0560368655490652	0.341800705158901	0.683903197437326	1.14217727148709e-15	4.50911722830555e-15	-0.0538715121446914	0.0366233496951375	-0.125653277547161	0.0179102532577781	-0.0721320334602168	0.0373525149466382	-0.145342962755628	0.00107889583519409	NPX
AKAP17A	2744.25759238187	492.16269426876	2432.7897721618	275.26137733763	7.46377714826873e-13	8.47138706328501e-11	2283.94993267726	279.926702487539	1.24316339967136e-11	5.64396183450797e-09	0.788040753088058	2.48853534041746e-21	2.6899882013084e-20	0.886501973763427	0.187984256047141	0.51805283191103	1.25495111561582	0.832265141223462	0.180786297459502	0.477923998202839	1.18660628424409	PAR1
ALG13	2311.38785753993	200.898067178111	108.004725419034	165.256901684834	0.515634334748703	0.833088925181178	-22.2622858791563	168.057792921677	0.895011134702073	0.965166401792734	0.261157362522537	0.000313949218965912	0.000357225427094045	0.0467272184833515	0.0716120887978825	-0.0936324755604983	0.187086912527201	-0.00963156650950421	0.0727134268158583	-0.152149883068587	0.132886750049578	NPX
ALG13-AS1	21.4071712727905	8.74117514925327	5.14758326801872	7.29570934049795	0.482905864395187	0.822553093789773	10.9648542468382	7.41936219947096	0.144128264537997	0.499497954963745	0.35386788680602	6.42183627895685e-06	8.07621515414518e-06	0.240460694335712	0.354668837381931	-0.454690226932872	0.935611615604296	0.512204723693459	0.404799655207911	-0.281202600514047	1.30561204790096	NPX
AMER1	537.876910499483	57.1897222591587	24.1996586476993	34.980303474506	0.491448307780517	0.822553093789773	16.5566901011355	35.5731744799827	0.643135559881388	0.854229429344667	0.605542903998465	1.41833760733955e-12	3.83288853411997e-12	0.0449910717030539	0.0652097282729148	-0.0828199957118592	0.172802139117967	0.0307815594570896	0.0662172047460566	-0.0990041618451814	0.160567280759361	NPX
