gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	851.738977132796	70.6140611178427	37.5186095757097	50.9125205941273	0.463904730358234	0.841331651163665	28.9898005799474	47.5393647624319	0.544183444225601	0.986207762479453	0.501265206862846	8.21996898787907e-09	1.68943081208168e-08	0.0440494219273707	0.0598862468086408	-0.0733276218175654	0.161426465672307	0.0340360149743711	0.0558857601737245	-0.0755000749661289	0.143572104914871	NPX
ABCD1	1680.34134929851	200.679739210574	-8.78536696972438	104.686208564851	0.933385375848396	0.981601104196519	41.3691289018381	97.7503332477816	0.673581744145355	0.986207762479453	0.731249459134503	6.97201825886052e-17	6.19903362581294e-16	-0.00522832278893332	0.0623036898884578	-0.127343554970311	0.116886909392444	0.0246194792023111	0.0582471601354109	-0.0895449546630944	0.138783913067716	NPX
ACOT9	2189.29748511079	112.612467032707	84.8605820323443	95.472471595114	0.377465724029087	0.787670822081105	13.1983351804568	89.1470427895997	0.882775128207992	0.986207762479453	0.298442221025776	0.000128919448535254	0.000169000174522176	0.0387615582667377	0.0436542797894994	-0.0468008301206812	0.124323946654157	0.00602857093209921	0.0407206550884419	-0.0737839130412469	0.0858410549054454	NPX
ACSL4	2468.29345812144	327.317971961572	236.388390621561	269.797666991316	0.384266680126206	0.791778735591929	111.779707869914	251.922504591783	0.658774841948842	0.986207762479453	0.329145153573119	3.81513262167896e-05	5.38065255954033e-05	0.095769970075386	0.110040662408403	-0.119909728245084	0.311449668395856	0.0452862310606241	0.102239956896151	-0.155104084455832	0.24567654657708	NPX
AIFM1	855.730544249118	59.071722010319	-6.44475084268183	34.1427064022184	0.850888285942194	0.960194792754225	4.20913376802315	31.8806170798564	0.895382914510185	0.986207762479453	0.682880781485347	1.08382450024984e-14	4.7157895808743e-14	-0.00753128526963699	0.039902285811123	-0.0857397654594381	0.0706771949201641	0.00491876069670572	0.0372569862624856	-0.0681049323777661	0.0779424537711775	NPX
AKAP17A	2182.57361776542	333.600936006016	1429.17066786477	163.707705364577	1.9024234084e-12	2.59363724678533e-10	1855.49898233	152.861422473848	3.82042735864448e-18	1.56255478968559e-15	0.855334217737511	3.46439608537054e-25	5.4822085388129e-23	0.654809833781458	0.125072885708558	0.409666977792683	0.899952689770232	0.850142678912114	0.14761499525688	0.560817288208628	1.1394680696156	PAR1
ALG13	899.573996496738	130.322953159724	201.530984467533	125.220586270224	0.112527209981631	0.509741971601555	70.0121416769532	116.924227223439	0.551465180547821	0.986207762479453	0.118136467569719	0.040105031542682	0.0427160362004086	0.224029357509629	0.142933436725542	-0.0561201784724334	0.504178893491691	0.0778281074704309	0.130465453435526	-0.1778841812632	0.333540396204062	NPX
ALG13-AS1	22.7154819016198	4.83472706589789	-0.108808462813012	4.32732706633636	0.980019184526461	0.991217385581014	0.523001612793127	4.04062453503113	0.897425159045866	0.986207762479453	0.241774362794151	0.00100856158538315	0.00121487965107219	-0.00479005742798055	0.190503950292577	-0.378177800001432	0.36859768514547	0.0230240157377349	0.177947250394664	-0.325752595035807	0.371800626511277	NPX
AMMECR1	325.948874144739	18.0184093472468	-34.5660518277663	14.4934738002597	0.0201031953590251	0.186868338678211	-29.0366766917982	13.5332238440532	0.0357667004792983	0.541799277630852	0.441952632668353	2.14077222460599e-07	3.69441282642975e-07	-0.106047465015686	0.0448502567193332	-0.193953968185579	-0.0181409618457928	-0.0890835311764397	0.0418104911788586	-0.171032093887003	-0.00713496846587684	NPX
AMMECR1-IT1	33.2520063868571	5.05411296559967	1.30200050686317	3.79350348795794	0.732576800532475	0.939932525152466	3.98632087177716	3.54216887981759	0.264693021255644	0.956601290183505	0.449773075551508	1.42621452101884e-07	2.51431784093408e-07	0.039155547238731	0.114238575381982	-0.184752060509953	0.263063154987415	0.119882115545147	0.108072140734564	-0.0919392802945991	0.331703511384893	NPX
