P1.CD4	P4.CD4	P5.CD4	P6.CD4	P7.CD4	C3.CD4	C4.CD4	C5.CD4	C6.CD4	C7.CD4	C8.CD4	P8.CD4	P9.CD4	P10.CD4	P11.CD4	P16.CD4	P12.CD4	P15.CD4	P13.CD4	P14.CD4	P17.CD4	C10.CD4	C11.CD4	C9.CD4	P18.CD4	P19.CD4	P20.CD4	P21.CD4	P22.CD4	P31.CD4	P30.CD4	C14.CD4	C15.CD4	C12.CD4	C16.CD4	C13.CD4	P24.CD4	P37.CD4	P27.CD4	P29.CD4	P28.CD4	P25.CD4	P34.CD4	P33.CD4	P32.CD4	P36.CD4	P39.CD4	P40.CD4	P38.CD4	P35.CD4	P26.CD4	P23.CD4	P41.CD4	P45.CD4	C17.CD4	P44.CD4	C19.CD4	P42.CD4	C18.CD4	C007G.CD4	C013G.CD4	C014G.CD4	P46.CD4	C22.CD4	C23.CD4	C24.CD4	C25.CD4	C26.CD4	C21.CD4	P47.CD4	P48.CD4	P49.CD4	P52.CD4	P53.CD4	WHT7559.CD4	WHT7645.CD4
AMMECR1	782.800537243171	1714.76699653284	1533.92668945983	1972.20906192915	1955.612894733	907.913434695579	786.866789253166	1339.1538925311	805.762266153403	1318.54164800612	1422.33839864054	1617.40843610079	1569.02907235372	767.824788817771	1264.26200799243	998.413152746682	2446.01621451922	1973.1012680542	1979.09353285965	1489.58461585703	923.602831468056	781.062533234033	791.224203145747	730.240365471719	912.282390458204	980.389466635291	886.141141616082	798.322168154962	996.752460989705	1291.12396441291	1282.48192057364	1256.93276260098	1165.18066781479	1166.73759769344	914.418781752252	1082.74989805942	1010.81910433637	1239.44839683475	970.541812496867	805.242852435186	551.611763622148	915.915090249922	599.56251238297	1391.05201644458	1153.45618930346	811.240522566406	979.209896419871	935.947650820751	761.695257768017	751.322039929338	797.558090991007	970.081171967872	899.36731103185	918.918932376951	1143.85281802939	1133.82408872804	679.57425674701	930.45561519582	1059.56596364306	1374.67562349845	1455.03754167202	1124.88996557245	856.578160849279	1050.68945954734	1154.08630915335	1212.20170126144	1268.93356378908	1111.95851626468	1254.61113931608	1366.9451176916	1099.07869118856	1253.34799322334	1362.91211794871	1541.40606696957	1242.32460229294	1872.55010396764
AMMECR1-IT1	25.9352808712654	20.1334852201786	29.2952540448136	6.78489905651855	39.2988738557053	52.2244282550702	30.4977894650584	23.0558693438618	25.8898052187514	18.9285397269765	26.5198284159571	28.8132358379183	32.5619272187897	23.593065259567	31.4253569876469	10.259136787551	7.55429134468907	34.3884671132681	11.6649081104784	32.5565208488875	24.2761566440832	20.6314842545581	27.4988839650784	9.15782021296273	7.0052893903915	28.4626166298324	23.0366067565041	14.0348702361814	19.3074613455222	85.4986117745261	68.3933123363543	76.8535453535098	70.583676169086	80.3271903619098	49.5184476856052	62.5097123310172	49.3898527760378	56.9244594307566	70.6164876763856	97.4378568135594	39.7920973236024	97.4112247897213	78.7262945713542	41.7629859760456	81.7449302648142	56.6279338882238	54.7557381966819	64.144794495713	60.5979199463961	75.2619950300483	63.950584131267	80.4727660045857	52.456194030537	79.7476682556737	53.0852532352682	33.0413098262225	41.3926904909368	56.8395513325743	69.396901880467	12.4935393958499	20.7338112194928	29.2413208277599	34.8923734062087	32.9326218137548	9.2471208134194	25.0269787121812	35.2538237102492	26.5775692013501	51.7585315506777	25.8369248808959	28.9466037157557	44.7671848727554	43.6293417116	22.258947903919	21.4265446704921	26.0380225666158
AP1S2	1007.88944160667	1950.02208279484	1615.21162252478	2150.60722794789	2574.68966521117	2043.39068805327	1967.53770820074	1958.79787882489	3386.94774678251	2291.40413253552	1942.17161638001	1486.11387705713	1136.01888423034	437.391891803459	1460.25372930784	819.161705422947	2111.41745591847	2067.92743236826	2077.25434509331	1873.31989544307	696.866631388811	512.553740194531	611.949162716202	745.598085617002	679.580068413024	542.566146797878	461.228971824853	608.084940347666	511.817682477594	582.227476332273	632.32197700854	742.912748709167	1064.87335896552	614.988159348079	788.593565179109	765.89864714995	635.814426479301	930.430895383763	608.985578805744	557.613922028459	354.736100844577	584.923447193285	353.635110774863	1065.01637296628	609.420971637886	567.03832599194	649.736164999688	680.639872853756	521.747219183697	389.159996452392	426.650371269524	444.68296933641	679.343689932667	745.04093075782	795.836251102673	1204.78255004865	887.376192607193	510.764013789362	817.462990674352	818.013260328091	1103.49698087953	822.611747701352	518.957904488904	730.639817531643	781.143618949317	877.124161465306	1350.47756220732	926.085830830863	587.524141032758	919.052354385671	975.373679491611	745.413434451501	1071.18724797549	924.733264714941	619.578174279313	934.233295668859
APEX2	1117.37834797394	543.476539841985	711.309556241188	621.739920027288	691.535140983165	950.071724248177	647.209835538871	800.534171895466	658.1373710968	521.716128232251	501.31388294846	401.668753675798	443.699052821652	1113.20267123043	603.034309705327	1233.22304683208	157.138128614001	470.360777963757	495.166989995333	478.0811717707	873.663810516027	976.016177173501	983.681895131874	1022.5246199369	588.690021298872	700.386726720468	493.123177323888	865.751646003103	600.825356927371	360.371356699745	316.294461216641	382.085400575696	410.51745888486	404.409812514794	492.13727088929	471.42653673236	343.969368532491	451.983776836216	326.767528699528	266.707366996999	360.746162690155	296.143606333657	381.62347203733	358.266157547763	393.98652645508	386.239941409031	303.583434373665	301.336302359901	422.904691757269	381.779306104995	273.81877001951	397.998313277129	505.790665069339	284.622144153727	470.649660138169	657.308101197568	651.770882720341	325.450393233235	399.045356712036	536.134436603404	542.931364202965	600.543163694184	783.914152616234	818.448435949074	793.280501600171	594.178307002718	673.994009270301	729.775340492706	772.47748519781	664.378996503518	683.08649224979	453.438487974965	415.062834286102	569.933738723487	239.778061565377	376.924135542992
APOO	841.955323742269	345.655793224956	384.805893413793	352.027683036507	396.687906868808	262.240984760019	283.061919185801	340.402387523679	278.902242189428	322.831467272802	208.581918510169	153.125571247736	94.4482302428478	268.869151022496	150.104051246033	114.993297102742	248.467091717915	76.7392457979877	106.403244406422	118.281912951498	155.579878269668	123.24102368614	122.554178749579	145.869795023515	124.963029554411	145.959155861128	104.660838366402	160.649446737563	161.963052572914	132.710776689497	120.940258959033	123.497869420831	92.7767137044125	81.1572165588767	89.3702859753243	109.503606108394	101.166309438338	75.0573562513384	91.4072833964968	118.758787596658	160.904541565056	81.725530869294	121.779058364418	119.501069285482	108.281755242861	160.491341270726	101.194172371739	132.218145835722	124.505375762186	92.1295443351687	111.028280056402	95.3224755670369	92.0057188787502	91.707450185639	97.3305825896409	145.772975182838	124.330359251055	86.8884579595338	81.5558614113104	126.817163546157	134.142285243819	111.777272250923	153.851448821572	129.126606653595	75.1148428863413	169.358491596909	124.867456623554	116.856044702327	149.270076811396	92.0128225150117	135.512893281496	122.930228285313	106.928715430636	110.32017557115	114.479753706832	95.4692521847223
APOOL	1027.75915670891	1302.08269275188	1564.40918917333	1572.40189518431	2103.23864745235	1303.99984478948	1222.14592807352	1101.59236107273	1601.84910659932	1122.59703579786	1036.86724556774	829.9686678712	627.389514095442	387.160246853409	566.945758398918	558.99143583376	1267.01270442803	918.288034211108	1056.73044397297	1324.18841697717	608.531098261508	402.482730044024	487.151433258571	459.277382456472	477.192454282465	431.502327734232	567.96090308863	562.182073564095	625.474353992635	608.716324259438	761.890134131209	585.74085531447	748.148745887592	656.314795622466	635.579882356201	763.49564361263	658.79792782699	470.930198654177	545.566618863814	701.133146676027	567.446646321997	684.619301633715	493.649932385432	587.648777114973	578.697729007501	495.669700020379	574.385374885145	655.592088331977	469.818125125468	572.843180369536	668.351259499826	681.567958291254	645.955929581289	730.847634183203	647.907214371974	702.193575303019	537.705310088041	523.136134271465	765.156043663207	923.256435696029	413.101713423312	707.534554109741	439.204574860185	424.615155915034	482.842350956162	589.183348611567	571.43309521522	622.097469443566	578.970958825758	700.801505760662	619.403988651598	386.745409237016	750.733587179657	617.884709872751	545.135709734515	947.673589942333
ARAF	3434.29860740179	2678.08636279573	2408.51167194341	1935.01498788324	2424.51393977466	2455.71009883592	2260.12878791557	2203.34218564422	2282.01884074679	1916.9697024385	2263.97104496086	3264.95029263442	3122.7459633999	6251.66892631393	3051.60806420292	4764.07743020517	1549.63953545525	2400.37199665126	2142.97897723243	2120.39720794207	4211.13914509377	4644.1967395172	4524.86649647383	4501.07439761376	3532.05148977202	4011.43156144006	3748.03523368978	3898.78617983162	3404.03355770522	2800.44977358491	2187.16777326649	2752.42944189905	2182.17765867748	2226.0309557317	2306.0706015999	2513.3298167376	2422.26257241928	2390.66292000381	2483.47447745479	2412.74063678194	2972.33933255801	2225.41808493757	3011.15550711928	2495.75056798819	2564.68569818208	2945.59169577171	2627.07277441908	2364.04690046403	2887.83805819876	2704.07404935679	2517.53420200406	2479.09101568645	2356.64057329574	1936.21429456348	2547.84896822869	2793.86862928102	3098.51423025941	2632.71880531063	2297.15317123174	4319.46167921089	3247.12649043332	4269.78736638354	4243.86469486527	4225.83993743394	3802.10869514949	3952.43261433776	3870.64994409667	3482.20624553442	4544.65158583241	3806.78391073185	3492.57218834653	4192.98363634014	3136.14538101208	3574.259972711	3553.90333948434	4021.22736912124
ARHGAP4	13034.9932181257	13582.8957257982	14602.292663363	12104.0300461911	10198.1230188537	10318.3312081389	9153.13818478839	9596.25136146038	10899.5846140763	8714.53785741452	8990.85028587486	10043.7713561949	9650.55309846869	27542.0650845912	11606.616533084	20201.0093329594	1914.26356947034	7963.57107276671	7399.32401301271	7455.94751926858	20085.6312008507	24481.4551586578	20295.0669600686	16957.5323762523	14709.8030151028	18212.2484888795	16475.4862985308	20629.599780837	18190.4909823128	9224.75393894978	6889.86364752623	8162.269204322	6715.39932943873	6186.24903092718	6741.6426523893	8216.44085171965	6861.701420996	7936.4942269796	8247.32519117237	6074.45523228936	8430.02920024078	6281.26738884591	8699.60953406101	7558.37986753379	9106.60757015614	9628.0152956093	7776.96182702531	7064.12311352536	8354.07370345448	7745.47258308693	8107.68918854334	8385.17443245813	7567.77733316452	6716.99376631031	8407.00792259095	11065.4987252419	10756.7013052676	8785.76776434558	8074.0543591272	14606.7183098012	12599.9777802836	13487.5782189269	19353.4392774688	14981.1239648586	14641.6221298948	14376.3246696638	13819.4070512816	15190.0774704317	19233.4422303319	15211.1378180848	13853.7523722723	15584.7825521774	10889.6949471798	13692.9275837446	12620.5942053869	10703.1541754053
ARHGEF6	8575.20107097921	15741.0012793885	18040.818546809	18265.6762204025	20751.4762632871	15750.208206976	15825.3333514306	16528.4645120758	16664.5188652285	18032.0880303617	16364.9448831017	10934.5859282377	10850.1817413571	3376.97740938498	5130.63175093609	4521.27389401888	14404.1334740277	11983.6988044273	12820.6980019246	13089.9037390436	6439.61622531917	4947.72088737983	6368.67962677521	7363.19970668356	6873.05317646728	7191.71484265875	6367.41771312102	5874.0647153342	5837.74907949916	4846.31514479669	5007.10644981842	6460.50777142802	6754.32016317258	7006.60636085325	6344.28238536589	5930.72845641142	5492.05444265512	6839.24407682483	5994.09499031375	4618.63728012593	3773.6911875307	5183.18349832686	3491.19069000735	7345.43758793137	6902.22955068822	4315.83889642774	7115.1152935798	6006.82962579795	4016.3315202727	5806.59504189432	5163.46313154443	5564.96293345769	6146.27161098545	5472.38572878981	6655.95671242472	6914.8722392267	5601.45191274599	5495.36801675102	7290.66482290573	7722.80721933892	6890.93903237311	7058.76199630005	4740.29338444249	6044.48833248283	6222.72792078139	7703.57849107629	8297.63527297416	8096.63183586403	4664.20103625825	7728.12043919708	8398.6583449688	6712.34006053618	7696.57298235705	7971.3035659933	7917.50358774725	8489.66286964427
ARHGEF9	2310.58943674436	1392.85340890372	2070.37395021756	1740.82770031392	1963.27053447947	1711.81026362392	1610.86580572857	1604.8264387071	1104.6137283774	1496.57137644076	1304.47919190581	1085.42055091443	1221.097989865	1026.56055749569	1221.14522115185	694.38542225614	1252.01751659534	1073.82051745877	1864.30893140831	1418.56402819671	1580.93504744033	1448.41585998275	1492.29831057992	1053.55708975231	1197.43055649866	1189.08621192363	1335.09923683428	1519.89962192624	1372.31726473675	964.592454965916	894.998368221332	909.172428312488	1016.07041748309	1007.62486957774	1172.96397384886	1106.36889456166	994.649528548276	862.140804422219	981.912621941452	795.001984686705	827.435221181121	862.885869203523	838.642313190413	944.964758907847	1039.58596191013	754.316457851596	1040.23266595677	1026.23141090496	720.365310737277	1001.27886826599	1045.30603182685	1004.07889416043	1194.22092188867	1178.43089819151	984.686170832558	1062.48799083607	983.944105847229	1027.73320599924	1085.77826346016	1044.69274731777	994.842404419706	926.003347574538	936.122755066555	1024.8188353318	1260.73150576655	1150.77329464352	1163.85364097964	1386.79408855883	898.676962426781	1279.89715671862	1413.2610056671	1034.4819637656	1185.57943974049	1198.5659966035	1280.78610576741	1169.53465484051
