P1.mono	P4.mono	P5.mono	P6.mono	P7.mono	C4.mono	C5.mono	C6.mono	C8.mono	P8.mono	P9.mono	P10.mono	P11.mono	WHT7347.mono	P16.mono	P12.mono	P15.mono	P13.mono	P14.mono	P17.mono	C10.mono	C11.mono	C9.mono	P18.mono	P19.mono	P20.mono	P21.mono	P22.mono	P31.mono	P30.mono	C14.mono	C15.mono	C12.mono	C16.mono	C13.mono	P24.mono	P37.mono	P28.mono	P25.mono	P29.mono	P27.mono	P34.mono	P32.mono	P40.mono	P35.mono	P38.mono	P33.mono	P23.mono	P26.mono	P41.mono	P45.mono	C18.mono	P44.mono	C19.mono	C20.mono	P42.mono	C006P.mono	C007G.mono	C013G.mono	C014G.mono	P46.mono	C23.mono	C24.mono	C25.mono	C26.mono	C21.mono	P47.mono	P48.mono	P52.mono	P53.mono	WHT7559.mono	WHT7645.mono
AP1S2	10540.8040090583	8234.52508219116	8567.65113542159	5297.68395653785	4579.02888537724	26304.5376069481	19913.512300068	10269.987206621	14407.8357514146	13199.7245728489	21782.3859524819	11179.1923024882	15697.7082669289	21463.469281451	16174.2914019997	21960.383890467	14206.9221563562	14647.4252332518	19148.8886481311	6094.89409327559	5836.63710123051	7449.54646085392	6994.09061798783	9161.72202012224	6627.04711732424	8846.31527677799	6478.9119281971	4736.80763806437	4550.50435339584	5189.78338182116	5143.44747225195	5052.68639718073	5535.10714061827	7463.59138605705	6014.20822084918	4782.43754029235	4366.62554059185	4383.42654828982	4929.35140288223	3573.66503844247	5409.53016547015	6617.08100176366	4656.01935508945	3935.22716201595	4695.93395524925	6270.49554558539	5139.43886057944	4375.86471329538	6410.04186681089	6359.44833012024	3845.8515802293	4259.02586164097	6967.94379065025	4439.30265931206	5564.03345472642	4097.70384986276	11243.925890745	10250.9611611198	10507.7784049472	8849.31963938454	6520.7975723694	6756.60713402595	6971.83437283068	9985.65034206796	7808.14842641938	7669.05647012659	10041.7866538431	10828.3377288554	6459.52062515569	8848.77891518742	13886.3270502591	11803.680444674
APEX2	644.701327914653	700.750082549065	895.237543777189	673.08984319565	799.001627377891	786.44763561254	784.004375107313	1252.08677495076	869.162711332406	808.50686741915	890.878680356807	392.901068963629	426.052228447604	557.722268090484	661.517904994826	349.95994424311	611.474246910398	487.342819323351	623.606033834413	823.03237915151	671.022304154184	1047.82483650826	1077.24756460417	745.819469246425	679.315434769946	530.796789466872	872.043685070744	836.093745387395	315.792515718102	452.592302520723	326.008936939026	385.612807423301	482.701520001936	579.810713261362	413.730168459055	239.293951586596	433.092423023314	264.566814722902	325.584837973426	286.55068874923	308.424606157603	223.444281800271	327.815430708542	167.476632280044	416.430967167096	385.4294910583	320.334045348255	327.447760744419	278.46500797071	511.217136938085	251.364177472509	355.123425723462	413.912375750761	499.688573075557	281.076278304827	285.452851975926	437.402969759569	600.432456002393	421.809409762679	708.976314254961	497.524635660241	583.372428868076	580.516803963367	677.409194342978	546.424051208687	612.315096088777	736.378720020806	746.754365436063	521.606152994816	551.679914360062	300.453480366677	345.693188230387
APOO	77.9036195370618	83.4220210100318	68.0140929005995	65.156140737439	54.5236940855617	103.726881921836	199.137238959093	63.2009359313574	105.525115421505	176.458529120993	114.177270392446	62.5986589699007	94.9065098572284	79.9122553293045	111.862689698098	8.64030341772657	88.7540037308153	85.3070594642521	64.5845262885689	106.181866020491	59.3141376841696	70.5376870130232	71.5083841560328	60.6845731240168	71.7155541061864	46.7909714176317	114.05920823019	45.8106535337398	46.535897297455	57.3755367783191	39.0262022489835	51.5958172704213	58.5079080805441	60.2467696483024	66.8783979516166	33.7848871807363	36.180005004822	38.3856325653952	36.2216475753332	30.4482073871983	54.9749492494375	33.5235760804985	78.3419359659771	29.5356948126431	63.5483812483618	83.7962039516546	36.7257136220267	52.9594175920989	39.2455128751344	66.2951025305135	25.6627092140579	50.1900987952077	57.139753397988	49.8150370153915	40.1361855237558	42.9996695934649	79.312109549548	68.1588215594778	97.8371535798941	39.2845364633798	112.816585826042	116.568420495867	80.9378899926753	93.3801351271989	112.365621311052	81.4128377714508	55.5247620901194	45.3361472714586	68.5752682431954	60.4213878755444	44.9818037843109	66.7773562565281
APOOL	678.863753809021	683.737618907724	607.704977352947	653.938060562528	895.173269053917	1024.74774223677	810.010818838252	452.265461506152	586.646724806568	433.44695623245	783.630259357474	878.31131590452	598.216105739755	802.596157124661	521.118776576626	1820.5793620328	564.893211278173	595.392210738032	777.611901656492	438.978305657588	377.956028613438	287.461865757451	314.181465345001	464.598140864825	398.794828509855	462.918945423849	429.594246115824	436.842031032462	562.241146434494	446.665840486473	500.18010664396	435.941802963025	456.793313034899	612.331680023608	591.163038940489	541.512426476952	392.220941625494	619.33854275952	632.137806818106	560.115777007762	524.374790382697	695.731030812294	507.42577393566	722.394837726454	457.958489362986	409.627249105871	616.998863773624	572.286224550961	600.200798662659	506.239670522699	585.096795799371	515.238205057907	535.699516645806	439.405150853283	553.757747223795	507.452603519804	703.075737906968	682.700584676133	434.69590616097	515.964982379966	411.406160381058	358.483641431764	409.324985974843	542.006383762585	568.409160687565	450.95094617307	518.087533499282	459.257686137073	443.193260462265	332.511048734876	636.579411927976	607.138148751509
ARAF	3659.92899654993	3648.48367614334	4289.43415811624	3291.27806581626	3081.06400374685	2540.05697581517	2738.16952319783	3984.5016807625	3359.62387621809	5196.27740298146	3856.53965681705	4612.28800712604	3167.84700759099	3046.58850983555	3233.6550664286	3199.99445185993	3656.77677730687	3046.07091420873	3144.59366156982	5642.30216283797	4760.62558185425	5659.83893963671	5297.15415827186	5564.18373992617	4797.61230767487	4534.2278491866	5345.85309509324	6142.24380043272	2720.75011700519	3728.7267573976	3551.48139858337	2341.37684800999	2625.86804095667	2366.02042019813	2556.94119588355	2522.51500474833	2408.85652262781	3645.76388985651	2779.91581686643	3810.38053223941	3543.77228508196	2605.55179673776	3105.34820175135	1903.56263127292	4273.01769204678	3169.88394125454	2452.25597816704	3089.90012119759	3609.68325079617	2407.41035109618	3228.01566253617	2804.22866137275	3014.33456622021	3211.01138268298	2764.38802690396	3650.02346965621	3112.24408205149	3613.52116468524	4388.77044462876	4236.61635083699	5165.5549775649	4569.58435641355	4485.50136762809	4410.42070544262	3849.89772007977	4880.37626369202	5045.64193298262	3724.1850531818	4651.88955459086	5441.0815951267	3619.00768465524	3812.25840687384
ARHGAP4	12294.8946621075	14283.8855777718	15144.8363557473	16057.7321631927	13374.9869619503	7933.13835190148	6274.7201477337	13448.0740864076	11185.3033395887	11070.1905515471	8367.19237344202	9357.63307222032	9030.34937696045	7624.77252748318	11917.9572145071	2411.84403175436	9639.71957919329	9440.04845865431	8389.57335296494	14087.7360093981	15448.3455070645	18250.3750487895	19235.3711242763	14640.1628377189	14498.6927706918	12935.0454157428	15693.7694563252	22172.4153432343	5951.81781635214	8138.05793313433	6632.33821760825	5812.41092175174	6794.37644985042	5311.84920812032	6121.14431969284	5508.97574026679	7337.72839117889	6472.77064959467	6678.79052716518	6702.58663934009	6411.1816863168	4527.65343521174	7262.95332166966	2952.18151946749	9117.25091270338	6768.54356815479	5249.02251054625	7490.92437332243	7465.82868175453	6729.37959557591	6283.91701953549	7478.94671450668	8349.49817700079	8401.96427385908	6486.74917846763	7233.99804083101	9514.58014026557	9959.4070272568	11102.2181681989	11485.7135801781	13639.810890353	14298.4701999718	13436.1249267617	11640.9156303983	10527.7563407361	13326.3780354473	12494.3657789894	11676.437878153	12429.7889761317	15520.2255835781	8881.0949079226	10112.5646425908
ARHGAP6	1001.05368326942	753.119778735442	2278.29423841131	587.375709468975	1888.13763860448	661.079321111802	497.845662785046	1800.59755742494	455.07926696458	823.466002804762	1131.41804543914	327.609737730378	1244.71826323622	508.107853532443	444.561391079973	884.534131886228	172.784032151346	223.285868731772	1230.4916625247	1173.98522774717	757.060817213705	489.845523268856	972.00719772784	1595.94681374934	1054.78052656335	592.059768677621	674.97368802273	926.097359447391	992.135817838844	468.875341270226	1433.02289794047	1068.07146157299	1363.09684942523	397.939804755993	417.130045353408	1336.84253897311	1109.52210050453	607.783293162033	669.398740128742	852.163093488567	1056.95171728996	483.430046269486	374.949925741264	237.633677781931	397.862395130629	1007.74291433054	836.171219566878	648.799378813627	649.575761663926	206.142132089494	408.704777310743	409.518331944281	676.801660439192	876.607159140585	760.225254483782	881.946030934615	544.765342313288	90.4381468866023	338.395757430842	134.303508584367	511.899228093448	1044.07477507864	449.874827647186	617.536294412941	530.071419091227	598.875667335346	1561.41853348037	532.326405937675	343.318933128108	760.654586263607	489.131795411398	321.421861342177
ARHGEF6	6281.38961443925	5202.37727822453	4550.55181396377	3257.62403600289	2628.85963789758	9770.66950081867	9998.14867729592	5182.86197216084	7597.95393290905	6400.3980801378	13096.9481270212	7755.76021319585	3276.67800830982	6839.21627507994	3747.18602921763	10297.6081738315	3742.88953539645	5101.19915787174	5234.68924103196	4424.19399937166	5215.35179153823	4168.12824450508	3505.10587423136	4997.38069420188	4897.33867372895	6344.81158035653	4399.60022079694	3203.1975861857	3251.47104482125	3008.93717745586	3584.18769097844	3295.44135583749	3375.8217194629	4561.05462253122	3714.67765951832	2757.38601227189	2871.947873547	3427.45183217867	3359.90399008767	2153.0629829854	3468.57005386401	3100.47465393967	3535.07896765278	3727.15117763102	3126.78047128475	3721.19831185386	3379.10768717343	3217.6638350444	3369.85757895853	4266.49093580958	3884.46455172072	3788.35863673067	4167.37559190361	3294.29375737844	4333.12841929171	3560.01745265572	7023.36445676136	6267.2109960882	5201.98189204646	5311.77815325479	3761.1307266167	3973.07089789838	4203.70491622271	5109.12288200048	5521.74586094176	4330.07158551787	4617.10743643174	5719.74629476135	3366.0167623155	4159.63665603922	6864.83008308105	7659.64174171292
ARHGEF9	396.854802059378	336.88462325753	289.836308001953	296.827846445168	358.441820254033	435.828170757902	455.21645238886	202.919964072714	281.845310509776	335.957384597955	491.174370432419	394.413570299118	268.309520841019	353.568650523496	261.228937488347	948.03110638663	324.082094938141	353.960513887505	358.94050656846	387.603360880213	488.625775702322	408.488739615895	253.400950393239	409.872137583439	398.972768244794	400.736861213793	392.919804332196	453.328553716489	428.328092407227	250.104379962478	361.196395179179	333.567281792497	314.221999665406	381.875020362822	361.289869911153	229.050876448986	322.515140943348	242.433423478129	308.57495555055	219.973456187264	310.524001345265	250.125246721604	364.247077079648	374.480393562331	321.501499092419	363.486955088287	349.184442431712	290.244276869132	294.996515234646	372.57906617426	319.144509606688	386.343521907072	329.528295136829	393.436256290782	312.12496093833	291.192524326307	470.117573014904	277.771832809537	284.118175460354	301.25604301562	250.335706853432	324.856220666426	377.845260433142	302.003475424148	359.740974613564	325.806137093434	347.001603897116	423.929307624305	371.113388682783	327.550890115085	345.695344323577	453.897650345093
ARMCX1	133.087268237613	101.205874283262	44.117357092005	82.9054548454137	72.9325344346831	180.78039520333	132.047168427135	68.0132121591173	131.02224306282	93.6398330920649	120.487932228791	75.5239146370538	158.719996376326	148.346783751155	110.294427361968	86.41948503652	87.5344237995193	116.454865235432	83.8997341219575	124.963704549103	73.4354676737547	123.02500319111	92.2580428246515	68.6228650443046	107.593929908147	132.520345867027	40.9389519067351	74.0874765324347	98.358144456273	97.8505690243078	79.2476571338539	83.0193902862467	70.5113378188323	82.985121988701	104.145302527065	87.3594292746427	48.8540574317728	111.453408002347	68.3175170327922	141.951309679207	68.1864832611804	81.814001259453	50.9744053790657	59.4198344912212	45.2398272523007	55.143163061138	50.3155259889192	114.134999717196	93.5653134722994	77.889846727101	60.8081743178843	64.3639196446361	79.3831161724933	102.129989361069	80.6913295182163	37.8973746091905	175.893993525797	282.167955341018	163.88274405308	167.26070942563	152.236085042275	119.804860155275	118.566659853047	136.512106080963	161.076560851808	239.770251630632	137.354325380503	105.103987347078	76.6162240769614	136.936495683332	128.554597167135	249.804313593211
